"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"2650","00809","大成生化科技","0.275","-0.010","-3.51%","0.00%","-26.67%","-26.67%","0.275","0.280","20.40万","5.00万","158.20万","44.70万","0.000%","0.000%","0.280","0.285","0.285","0.275","0.02","0.00","3.51","亏损","亏损","-","0.63","-32.67%","24.50亿","24.50亿","89.07亿","89.07亿","-1.79%","-8.33%","-21.43%","154.63%","97.84%","化肥及农用化合物"
"2651","02280","慧聪集团","1.370","-0.050","-3.52%","1.48%","35.64%","23.42%","1.350","1.370","10.80万","5.00万","840.45万","1125.62万","0.000%","0.000%","1.420","1.420","1.420","1.280","0.64","1.48","9.86","亏损","亏损","0.399","0.71","-0.45%","17.95亿","17.95亿","13.1亿","13.1亿","31.73%","29.25%","28.04%","33.01%","-41.70%","电子商贸及互联网服务"
"2652","00913","合一投资","0.136","-0.005","-3.55%","0.00%","-15.00%","-9.93%","0.134","0.148","10.00万","3.00万","4.50万","5794","0.000%","0.000%","0.128","0.141","0.136","0.128","0.02","0.00","5.67","亏损","亏损","0.123","19.57","84.21%","3039.21万","3039.21万","2.23亿","2.23亿","-9.33%","-9.33%","-2.86%","-15.00%","-38.18%","投资及资产管理"
"2653","01775","精英汇集团","0.405","-0.015","-3.57%","-3.57%","-26.36%","-20.59%","0.400","0.415","6.00万","4000","4000","1620","2.470%","2.469%","0.405","0.420","0.405","0.405","0.00","0.00","0.00","亏损","亏损","1.285","0.01","-8.46%","2.02亿","2.02亿","5亿","5亿","1.25%","-3.57%","-11.96%","1.25%","-3.57%","教育"
"2654","00301","三和精化","1.080","-0.040","-3.57%","0.00%","31.71%","12.50%","1.050","1.090","2.00万","1.20万","6.40万","7.05万","2.220%","2.222%","1.110","1.120","1.110","1.100","0.02","0.92","0.89","18.947","17.704","2.312","0.38","-10.42%","4.62亿","4.62亿","4.28亿","4.28亿","3.85%","0.00%","9.09%","0.93%","-2.35%","特殊化工用品"
"2655","01351","辉煌明天","3.500","-0.130","-3.58%","-0.57%","175.59%","71.57%","3.500","3.530","2000","1.60万","412.20万","1455.08万","0.000%","0.000%","3.700","3.630","3.700","3.430","0.82","0.00","7.44","28.225","39.325","9.915","0.66","28.05%","17.50亿","17.50亿","5亿","5亿","-10.94%","-0.57%","32.58%","0.00%","0.00%","广告及宣传"
"2656","01663","汉港控股","0.134","-0.005","-3.60%","0.00%","10.74%","-17.79%","0.134","0.138","8.60万","28.00万","17.03万","2.29万","7.460%","7.462%","0.135","0.139","0.137","0.134","0.01","0.00","2.16","4.466","5.360","0.201","0.93","15.34%","3.30亿","3.30亿","24.64亿","24.64亿","-0.74%","-8.84%","-10.07%","25.23%","-1.47%","地产发展商"
"2657","03337","安东油田服务","0.530","-0.020","-3.64%","1.92%","43.24%","21.84%","0.520","0.530","307.20万","20.60万","2900.20万","1545.51万","2.080%","0.000%","0.550","0.550","0.550","0.520","0.97","0.00","5.46","58.888","5.408","0.502","0.99","-41.29%","15.93亿","15.93亿","30.07亿","30.07亿","11.58%","10.42%","11.58%","21.84%","-30.26%","气油设备与服务"
"2658","06093","和泓服务","2.650","-0.100","-3.64%","-0.75%","26.19%","25.59%","2.630","2.680","2000","1.40万","16.80万","44.90万","0.000%","0.000%","2.620","2.750","2.780","2.510","0.03","0.00","9.82","42.063","98.148","4.757","0.68","53.43%","14.84亿","14.84亿","5.6亿","5.6亿","6.00%","9.50%","17.78%","-1.12%","90.65%","物业服务及管理"
"2659","01733","易大宗","0.395","-0.015","-3.66%","0.00%","68.09%","6.76%","0.395","0.400","117.60万","50.40万","876.90万","359.82万","18.230%","18.227%","0.420","0.410","0.435","0.390","0.29","0.00","10.98","3.623","3.834","0.345","1.50","-9.61%","11.96亿","11.96亿","30.27亿","30.27亿","5.33%","3.95%","2.60%","98.49%","29.51%","煤炭"
