"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"652","03991","长虹佳华","0.810","+0.020","2.53%","0.00%","2.53%","1.25%","0.770","0.810","6.40万","10.60万","81.40万","64.79万","4.940%","4.938%","0.790","0.790","0.820","0.780","0.06","0.00","5.06","4.285","4.070","0.619","9.00","59.18%","11.78亿","11.78亿","14.55亿","14.55亿","5.19%","6.58%","3.85%","0.00%","28.57%","电脑及周边器材"
"653","03033","南方恒生科技","10.150","+0.250","2.53%","-0.20%","26.01%","21.41%","10.140","10.150","400","2000","2510.18万","2.54亿","0.000%","0.000%","10.000","9.900","10.180","9.985","3.85","-0.10","1.97","1.023","15.581","-","0.63","-37.40%","66.12亿","66.12亿","6.51亿","6.51亿","0.59%","3.73%","17.41%","0.00%","0.00%","-"
"654","00633","中国全通","0.122","+0.003","2.52%","0.00%","-3.17%","6.09%","0.119","0.122","28.00万","20.00万","206.20万","25.25万","43.440%","0.000%","0.114","0.119","0.125","0.114","0.09","0.00","9.24","亏损","亏损","0.663","0.88","-20.00%","2.82亿","2.82亿","23.12亿","23.12亿","0.00%","-10.95%","11.93%","2.52%","-28.24%","卫星及无线通讯"
"655","00235","中策集团","0.163","+0.004","2.52%","1.24%","154.69%","-34.80%","0.162","0.163","5.00万","26.00万","5.25亿","8641.20万","0.000%","0.000%","0.160","0.159","0.174","0.160","2.57","0.62","8.81","亏损","亏损","0.987","0.90","25.24%","33.23亿","33.23亿","203.85亿","203.85亿","-9.44%","-17.68%","-37.31%","101.23%","443.33%","-"
"656","00422","越南制造加工出口","0.245","+0.006","2.51%","0.00%","2.94%","4.26%","0.226","0.245","1.00万","19.40万","1.00万","2408","0.000%","0.000%","0.239","0.239","0.245","0.239","0.00","0.00","2.51","亏损","亏损","0.483","0.19","-26.11%","2.22亿","2.22亿","9.08亿","9.08亿","4.26%","2.51%","0.41%","-42.35%","16.67%","汽车"
"657","03149","南方MSCI","19.640","+0.480","2.51%","0.00%","21.06%","13.99%","0.000","0.000","0","0","0","0","0.000%","0.000%","19.640","19.160","0.000","0.000","0.00","0.00","0.00","1.023","11552.941","-","0.00","0.00%","3338.80万","3338.80万","170万","170万","6.57%","5.53%","4.64%","28.76%","63.35%","-"
"658","00939","建设银行","6.140","+0.150","2.50%","-0.16%","3.89%","4.24%","6.140","6.150","733.90万","582.20万","3.71亿","22.79亿","5.700%","5.700%","6.020","5.990","6.200","6.020","0.15","0.16","3.01","5.664","5.229","0.604","1.33","-41.38%","15350.67亿","14761.62亿","2500.11亿","2404.17亿","4.60%","1.32%","0.49%","4.42%","3.54%","银行"
"659","08320","沛然环保","0.082","+0.002","2.50%","0.00%","134.29%","60.78%","0.080","0.082","3.00万","6.00万","2581.00万","216.18万","0.000%","0.000%","0.084","0.080","0.090","0.080","1.84","-2.50","12.50","82.000","82.000","1.607","2.78","-37.44%","1.15亿","1.15亿","14.03亿","14.03亿","51.85%","49.09%","43.86%","156.25%","9.33%","其他支援服务"
"660","01189","大湾区聚变力量","0.205","+0.005","2.50%","0.00%","-2.38%","-2.38%","0.198","0.205","11.00万","6.00万","43.15万","8.53万","12.200%","12.195%","0.195","0.200","0.206","0.195","0.06","0.00","5.50","亏损","亏损","0.087","2.36","3.13%","1.62亿","1.62亿","7.89亿","7.89亿","1.49%","-4.21%","-0.97%","-4.21%","-14.58%","酒店及度假村"
"661","00047","合兴集团","0.041","+0.001","2.50%","0.00%","-16.33%","-16.33%","0.039","0.041","298.80万","613.60万","1186.80万","48.01万","4.880%","4.878%","0.041","0.040","0.041","0.040","0.12","2.50","2.50","亏损","3.727","0.836","0.41","-21.01%","4.13亿","4.13亿","100.7亿","100.7亿","-4.65%","-2.38%","-10.87%","-34.92%","-54.44%","餐饮"
"662","00389","通天酒业","0.082","+0.002","2.50%","1.23%","-3.53%","-16.33%","0.079","0.082","9.80万","51.60万","472.80万","37.51万","0.000%","0.000%","0.077","0.080","0.084","0.075","0.24","0.00","11.25","亏损","亏损","0.289","2.34","-28.53%","1.65亿","1.65亿","20.13亿","20.13亿","3.80%","0.00%","-1.20%","-1.20%","-31.67%","酒精饮料"
"663","01757","俊裕地基","0.205","+0.005","2.50%","0.49%","32.26%","0.00%","0.182","0.212","40.00万","20.00万","21.00万","4.07万","0.000%","0.000%","0.200","0.200","0.205","0.180","0.02","0.00","12.50","亏损","亏损","3.474","1.25","30.67%","2.46亿","2.46亿","12亿","12亿","-6.39%","2.50%","20.59%","56.49%","19.88%","重型基建"
"664","06063","智中国际","0.123","+0.003","2.50%","-0.81%","3.36%","5.13%","0.120","0.123","8.00万","34.40万","117.60万","14.30万","4.070%","4.065%","0.115","0.120","0.125","0.115","0.06","1.60","8.33","10.250","7.235","1.537","0.38","-25.89%","2.46亿","2.46亿","20亿","20亿","10.81%","2.50%","17.14%","-13.38%","0.00%","楼宇建造"
"665","00127","华人置业","3.700","+0.090","2.49%","0.82%","-4.88%","-2.12%","3.650","3.700","4000","4.55万","22.60万","82.94万","0.540%","0.540%","3.600","3.610","3.710","3.600","0.01","-0.27","3.05","9.660","8.937","0.215","0.82","-16.36%","70.58亿","70.58亿","19.08亿","19.08亿","4.23%","1.93%","4.23%","-27.31%","-29.52%","地产投资"
"666","03024","标智上证50","40.320","+0.980","2.49%","0.00%","22.85%","12.63%","37.600","0.000","500","0","0","0","0.000%","0.000%","40.320","39.340","0.000","0.000","0.00","0.00","0.00","0.996","33600.000","-","0.00","100.00%","4838.40万","4838.40万","120万","120万","7.01%","5.55%","3.38%","29.23%","56.58%","-"
"667","03366","华侨城(亚洲)","1.650","+0.040","2.48%","0.00%","-1.20%","2.48%","1.650","1.680","2000","4000","73.80万","120.05万","0.790%","0.787%","1.630","1.610","1.630","1.600","0.10","1.85","1.86","6.470","4.230","0.121","6.01","30.77%","12.35亿","12.35亿","7.48亿","7.48亿","-0.60%","-4.07%","3.13%","-4.62%","-32.84%","地产发展商"
"668","03197","华夏A国际通","16.500","+0.400","2.48%","0.00%","19.74%","12.47%","13.980","0.000","200","0","3800","6.27万","0.000%","0.000%","16.500","16.100","16.500","16.500","0.13","0.00","0.00","0.986","5500.000","-","0.56","100.00%","4950.00万","4950.00万","300万","300万","5.97%","5.63%","4.10%","27.12%","58.65%","-"
"669","00874","白云山","20.650","+0.500","2.48%","0.49%","4.50%","8.57%","20.550","20.650","2000","1.00万","88.00万","1804.65万","3.120%","3.123%","20.350","20.150","20.700","20.200","0.40","0.73","2.48","11.523","9.618","1.125","0.89","-23.53%","335.73亿","45.41亿","16.26亿","2.2亿","4.08%","1.47%","4.40%","-7.40%","-19.67%","中医药"
"670","02448","恒宇集团","2.070","+0.050","2.48%","4.55%","16.95%","17.61%","1.980","2.070","2500","4.75万","25.75万","51.65万","0.000%","0.000%","2.050","2.020","2.070","1.960","0.03","-5.08","5.45","30.441","25.875","3.791","1.06","-90.30%","15.73亿","15.73亿","7.6亿","7.6亿","0.49%","22.49%","23.95%","76.92%","73.95%","楼宇建造"
"671","02319","蒙牛乳业","49.800","+1.200","2.47%","-0.30%","20.00%","6.41%","49.800","49.850","1.70万","11.80万","1222.37万","6.07亿","0.390%","0.393%","49.400","48.600","50.300","48.800","0.31","-0.50","3.09","55.642","43.645","5.918","1.03","-18.33%","1966.20亿","1966.20亿","39.48亿","39.48亿","5.29%","6.87%","0.61%","37.57%","65.43%","乳制品"
"672","01442","INFINITY L&T","0.415","+0.010","2.47%","3.75%","1.22%","2.47%","0.415","0.420","2.00万","32.00万","73.00万","29.59万","1.200%","0.000%","0.395","0.405","0.420","0.395","0.04","1.19","6.17","18.863","24.411","2.626","3.35","-54.78%","8.30亿","8.30亿","20亿","20亿","2.47%","10.67%","6.41%","28.09%","22.42%","航空货运及物流"
"673","00148","建滔集团","35.400","+0.850","2.46%","-0.42%","32.49%","8.26%","35.400","35.450","2000","7.15万","170.49万","6028.39万","3.900%","3.878%","35.350","34.550","35.950","34.800","0.15","0.00","3.33","14.431","12.651","0.792","1.63","-65.00%","391.45亿","391.45亿","11.06亿","11.06亿","3.96%","8.42%","3.51%","54.11%","76.82%","工业零件及器材"
"674","01001","沪港联合","0.250","+0.006","2.46%","0.00%","-3.85%","-7.41%","0.250","0.255","2000","3.60万","0","0","8.000%","0.000%","0.250","0.244","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.186","0.00","-98.00%","1.60亿","1.60亿","6.41亿","6.41亿","2.46%","1.63%","0.40%","0.81%","-42.53%","钢铁"
"675","02845","GX中国电车","150.000","+3.600","2.46%","-0.07%","37.68%","15.52%","149.950","150.000","1000","1400","41.06万","6090.86万","0.000%","0.000%","146.900","146.400","150.600","145.000","0.87","0.00","3.83","1.022","3177.966","-","0.89","5.11%","70.80亿","70.80亿","4720万","4720万","3.23%","2.04%","6.04%","91.03%","125.56%","-"
"676","06820","友谊时光","2.920","+0.070","2.46%","0.00%","40.38%","46.73%","2.900","2.920","21.60万","1.20万","1032.20万","2989.93万","3.420%","3.424%","2.880","2.850","2.980","2.700","0.47","2.07","9.83","13.518","13.971","4.424","1.59","-47.08%","63.68亿","63.68亿","21.81亿","21.81亿","6.57%","14.06%","63.13%","-14.87%","116.30%","软件开发"
"677","83149","南方MSCI-R","16.300","+0.390","2.45%","0.00%","18.46%","12.72%","0.000","0.000","0","0","0","0","0.000%","0.000%","16.300","15.910","0.000","0.000","0.00","0.00","0.00","1.021","9588.235","-","0.00","0.00%","2771.00万","2771.00万","170万","170万","6.12%","4.76%","4.15%","19.50%","50.65%","-"
"678","82846","安硕沪深三百-R","37.700","+0.900","2.45%","0.00%","19.15%","12.67%","36.400","0.000","3600","0","4000","15.08万","0.000%","0.000%","37.700","36.800","37.700","37.700","0.05","0.00","0.00","1.021","4308.571","-","0.65","100.00%","3.30亿","3.30亿","875万","875万","6.08%","6.32%","3.74%","21.42%","51.04%","-"
"679","00097","恒基发展","0.420","+0.010","2.44%","0.00%","33.33%","23.53%","0.415","0.420","22.60万","1.00万","278.30万","115.85万","4.760%","7.142%","0.410","0.410","0.420","0.410","0.09","0.00","2.44","14.482","21.000","0.985","1.70","35.51%","12.80亿","12.80亿","30.47亿","30.47亿","6.33%","-3.45%","20.00%","6.33%","-32.26%","其他零售商"
"680","00434","博雅互动","0.840","+0.020","2.44%","0.00%","61.54%","47.37%","0.840","0.850","2.00万","14.80万","489.00万","399.42万","32.860%","0.000%","0.810","0.820","0.870","0.760","0.69","0.00","13.42","亏损","16.153","0.242","0.51","27.81%","5.97亿","5.97亿","7.11亿","7.11亿","18.31%","25.37%","42.37%","27.27%","-17.65%","软件开发"
"681","01715","米技国际控股","0.169","+0.004","2.42%","0.00%","13.42%","-11.05%","0.169","0.174","2.00万","3.00万","66.00万","11.03万","0.000%","0.000%","0.163","0.165","0.170","0.162","0.04","0.00","4.85","亏损","12.071","1.280","0.13","82.98%","2.54亿","2.54亿","15亿","15亿","-27.47%","-19.52%","-16.34%","-10.58%","-32.40%","家具"
"682","02386","中石化炼化工程","3.810","+0.090","2.42%","0.26%","15.45%","14.07%","3.800","3.810","1.10万","1.80万","357.30万","1352.72万","9.400%","9.238%","3.750","3.720","3.820","3.750","0.25","0.00","1.88","6.864","7.068","0.546","0.94","5.95%","168.71亿","55.66亿","44.28亿","14.61亿","4.10%","2.97%","4.10%","12.96%","-6.20%","气油设备与服务"
"683","06618","京东健康","157.100","+3.700","2.41%","0.51%","0.00%","4.73%","157.000","157.100","2000","8700","521.91万","8.17亿","0.000%","0.000%","156.000","153.400","158.400","153.900","0.16","0.38","2.93","亏损","亏损","-","1.74","-17.96%","5002.64亿","5002.64亿","31.84亿","31.84亿","-0.88%","-4.85%","8.20%","0.00%","0.00%","药品"
"684","08437","德斯控股","0.255","+0.006","2.41%","3.66%","-56.03%","-26.09%","0.247","0.250","20.00万","9.60万","266.40万","66.43万","0.000%","0.000%","0.250","0.249","0.255","0.245","0.37","0.00","4.02","亏损","255.000","2.361","0.18","26.05%","1.84亿","1.84亿","7.2亿","7.2亿","-12.07%","-44.57%","-30.14%","-37.80%","60.38%","医疗及医学美容服务"
"685","00528","金达控股","1.280","+0.030","2.40%","0.00%","-5.19%","-0.78%","1.230","1.280","2000","4000","15.00万","18.67万","5.470%","5.468%","1.230","1.250","1.300","1.200","0.02","0.00","8.00","10.322","4.866","0.596","1.77","-2.96%","8.06亿","8.06亿","6.3亿","6.3亿","1.59%","2.40%","0.00%","2.40%","-22.42%","纺织品及布料"
"686","03692","翰森制药","42.700","+1.000","2.40%","-0.12%","22.00%","13.56%","42.700","42.750","6000","5.80万","336.35万","1.44亿","0.000%","0.000%","42.000","41.700","43.100","41.500","0.06","0.35","3.84","92.624","89.894","12.799","1.26","17.28%","2527.41亿","2527.41亿","59.19亿","59.19亿","-1.04%","-2.62%","-2.29%","26.71%","57.86%","药品"
"687","83197","华夏A国际通-R","13.670","+0.320","2.40%","0.00%","17.04%","11.14%","0.000","0.000","0","0","0","0","0.000%","0.000%","13.670","13.350","0.000","0.000","0.00","0.00","0.00","0.985","4556.666","-","0.00","0.00%","4101.00万","4101.00万","300万","300万","5.72%","4.43%","3.95%","17.54%","46.99%","-"
"688","01072","东方电气","7.700","+0.180","2.39%","0.26%","39.49%","35.80%","7.680","7.700","2200","3.88万","382.44万","2922.06万","2.910%","2.909%","7.610","7.520","7.730","7.500","1.13","-0.26","3.06","13.652","17.073","0.689","0.33","-13.11%","240.21亿","26.18亿","31.2亿","3.4亿","-6.89%","-3.87%","13.24%","68.12%","97.18%","环保工程"
"689","00108","国锐地产","0.860","+0.020","2.38%","0.00%","-27.12%","-10.42%","0.840","0.850","1.80万","2000","92.40万","77.91万","0.000%","0.000%","0.840","0.840","0.870","0.830","0.03","2.38","4.76","28.666","27.741","0.831","0.20","77.07%","27.51亿","27.51亿","31.99亿","31.99亿","-8.51%","-14.00%","-5.49%","-32.81%","-50.29%","物业服务及管理"
"690","01747","HOME CONTROL","0.860","+0.020","2.38%","0.00%","4.88%","2.38%","0.830","0.870","2000","2000","50.40万","46.13万","2.440%","2.441%","0.870","0.840","0.920","0.830","0.10","0.00","10.71","10.238","20.476","3.269","2.36","-50.50%","4.31亿","4.31亿","5.02亿","5.02亿","1.18%","10.26%","1.18%","24.64%","13.46%","消费电子产品"
"691","09809","GX中国洁能-U","16.350","+0.380","2.38%","0.06%","40.83%","16.29%","16.330","16.400","150","2.46万","14.94万","243.23万","0.000%","0.000%","16.050","15.970","16.430","16.000","0.52","-0.12","2.69","1.027","564.766","-","1.34","-91.44%","4.73亿","4.73亿","2895万","2895万","5.01%","-1.03%","3.28%","72.56%","125.21%","-"
"692","00880","澳博控股","9.910","+0.230","2.38%","0.30%","5.54%","14.30%","9.900","9.910","1000","1.90万","1323.84万","1.30亿","2.220%","3.017%","9.700","9.680","9.960","9.610","0.23","0.00","3.62","495.500","17.539","2.158","0.57","-69.38%","562.70亿","562.70亿","56.78亿","56.78亿","14.30%","14.57%","17.14%","1.23%","13.26%","赌场及博彩"
"693","03032","恒生科技ETF","10.150","+0.235","2.37%","-0.20%","25.93%","20.98%","10.150","10.170","2.02万","2.30万","462.46万","4682.16万","0.000%","0.000%","9.955","9.915","10.180","9.955","5.17","-0.10","2.27","1.022","113.407","-","1.26","-63.09%","9.08亿","9.08亿","8950万","8950万","0.59%","3.31%","17.54%","0.00%","0.00%","-"
"694","00720","意达利控股","0.173","+0.004","2.37%","0.00%","2.98%","2.37%","0.170","0.173","2.50万","42.50万","375.00万","64.29万","0.000%","0.000%","0.167","0.169","0.173","0.167","0.07","0.00","3.55","亏损","亏损","2.059","33.20","-22.22%","9.16亿","9.16亿","52.93亿","52.93亿","-1.70%","2.37%","4.22%","-3.35%","-23.79%","汽车"
"695","03818","中国动向","0.870","+0.020","2.35%","-1.14%","15.69%","7.41%","0.870","0.880","113.70万","163.20万","1315.40万","1145.44万","11.150%","5.517%","0.860","0.850","0.880","0.850","0.22","-1.14","3.53","3.425","12.794","0.381","0.77","-34.83%","51.21亿","51.21亿","58.86亿","58.86亿","4.82%","6.10%","20.83%","-3.55%","23.93%","服装"
"696","02846","安硕沪深三百","45.240","+1.040","2.35%","0.00%","21.16%","12.54%","44.400","45.500","100","500","5.33万","239.72万","0.000%","0.000%","44.760","44.200","45.240","44.480","0.61","0.00","1.72","1.015","5170.285","-","4.26","-66.67%","3.96亿","3.96亿","875万","875万","6.45%","6.95%","0.53%","30.73%","62.17%","-"
"697","03166","平安中国质量因子","57.460","+1.320","2.35%","0.00%","21.69%","19.91%","57.460","0.000","900","0","0","0","0.000%","0.000%","57.460","56.140","0.000","0.000","0.00","0.07","0.00","0.968","63844.445","-","0.00","100.00%","5171.40万","5171.40万","90万","90万","3.91%","3.05%","7.80%","34.13%","64.17%","-"
"698","02552","华领医药-B","5.250","+0.120","2.34%","0.19%","3.75%","-9.33%","5.210","5.250","6000","5500","197.95万","1024.10万","0.000%","0.000%","5.240","5.130","5.350","4.980","0.19","0.19","7.21","亏损","亏损","5.401","1.49","11.84%","55.38亿","55.38亿","10.55亿","10.55亿","-1.13%","-5.91%","-12.50%","-25.85%","12.42%","生物技术"
"699","01801","信达生物","98.550","+2.250","2.34%","-0.20%","79.51%","20.11%","98.450","98.550","1.50万","1.30万","364.52万","3.57亿","0.000%","0.000%","97.000","96.300","99.600","94.800","0.25","0.10","4.98","亏损","亏损","19.913","0.49","20.48%","1434.49亿","1434.49亿","14.56亿","14.56亿","1.49%","7.29%","5.80%","98.69%","210.88%","药品"
"700","02359","药明康德","210.800","+4.800","2.33%","0.48%","55.69%","38.87%","210.400","210.800","100","2100","151.84万","3.16亿","0.120%","0.122%","207.000","206.000","211.800","201.000","0.49","0.38","5.24","189.568","254.589","14.026","0.85","-54.66%","5155.64亿","655.57亿","24.46亿","3.11亿","1.35%","13.27%","29.40%","83.94%","162.72%","生物技术"
"701","01137","香港电视","15.840","+0.360","2.33%","0.00%","41.43%","38.70%","15.820","15.840","6000","10.50万","374.07万","5927.08万","0.000%","0.000%","15.700","15.480","16.080","15.500","0.41","-0.13","3.75","亏损","亏损","7.209","0.77","-66.06%","144.98亿","144.98亿","9.15亿","9.15亿","-2.22%","5.32%","12.34%","94.36%","136.42%","电子商贸及互联网服务"
"702","00335","美建集团","0.880","+0.020","2.33%","0.00%","8.64%","-2.22%","0.860","0.880","2.00万","10.60万","36.20万","31.85万","1.140%","1.136%","0.860","0.860","0.890","0.860","0.01","-1.12","3.49","55.000","48.888","0.891","2.03","-2.34%","23.60亿","23.60亿","26.82亿","26.82亿","2.33%","3.53%","2.33%","8.64%","-12.00%","-"
"703","08063","环球大通集团","0.044","+0.001","2.33%","0.00%","-16.98%","-13.73%","0.042","0.044","75.00万","20.00万","55.20万","2.39万","0.000%","0.000%","0.041","0.043","0.046","0.040","0.01","0.00","13.95","亏损","亏损","0.415","0.97","21.43%","1.88亿","1.88亿","42.63亿","42.63亿","4.76%","10.00%","22.22%","-16.98%","15.79%","旅游及观光"
"704","01259","未来发展控股","0.088","+0.002","2.33%","0.00%","0.00%","3.53%","0.084","0.088","7.00万","1.00万","94.50万","8.18万","0.000%","0.000%","0.087","0.086","0.088","0.084","0.05","0.00","4.65","5.176","亏损","0.190","3.18","14.60%","1.59亿","1.59亿","18.1亿","18.1亿","8.64%","6.02%","7.32%","-6.38%","-14.56%","个人护理"
"705","03369","秦港股份","1.320","+0.030","2.33%","0.00%","0.00%","1.54%","1.300","1.320","1.60万","5.00万","6.95万","9.04万","7.420%","7.424%","1.300","1.290","1.320","1.300","0.01","0.00","1.55","6.439","7.213","0.419","0.32","-0.92%","73.75亿","10.95亿","55.87亿","8.3亿","0.76%","1.54%","-0.75%","1.54%","1.46%","航运及港口"
"706","83188","华夏沪深三百-R","59.000","+1.340","2.32%","0.00%","17.72%","12.12%","58.840","59.200","200","2600","31.71万","1857.44万","0.000%","0.000%","57.840","57.660","59.160","57.840","0.10","0.00","2.29","0.998","187.212","-","1.39","-16.13%","185.94亿","185.94亿","3.15亿","3.15亿","5.77%","5.62%","3.65%","20.02%","50.43%","-"
"707","00041","鹰君","24.250","+0.550","2.32%","0.00%","18.87%","13.85%","24.200","24.250","1000","1000","26.98万","664.11万","11.600%","5.397%","24.000","23.700","25.700","24.000","0.04","-0.21","7.17","亏损","亏损","0.282","2.84","-49.21%","174.58亿","174.58亿","7.2亿","7.2亿","1.68%","0.41%","6.83%","49.78%","15.37%","地产投资"
"708","01426","春泉产业信托","2.650","+0.060","2.32%","0.00%","-1.49%","-1.85%","2.590","2.650","5000","2000","25.00万","65.54万","6.910%","6.641%","2.600","2.590","2.690","2.530","0.02","1.53","6.18","亏损","126.190","0.526","2.91","20.54%","38.65亿","38.65亿","14.59亿","14.59亿","4.33%","2.32%","-2.21%","14.97%","-11.25%","房地产信托"
"709","03072","日兴环球联网","176.650","+4.000","2.32%","0.00%","22.33%","15.27%","176.650","0.000","600","0","1570","27.67万","0.000%","0.000%","175.700","172.650","176.850","175.550","0.15","0.00","0.75","1.008","169367.219","-","0.59","100.00%","1.84亿","1.84亿","104.3万","104.3万","3.94%","6.80%","14.63%","35.47%","86.63%","-"
"710","03173","PP中新经济","13.280","+0.300","2.31%","0.00%","17.11%","9.57%","13.220","13.300","250","2250","8.28万","108.33万","0.000%","0.000%","13.010","12.980","13.290","13.010","0.04","0.00","2.16","0.998","60.501","-","0.84","-80.00%","29.15亿","29.15亿","2.19亿","2.19亿","4.73%","3.83%","3.91%","21.61%","59.42%","-"
"711","03606","福耀玻璃","62.000","+1.400","2.31%","0.08%","63.59%","45.54%","61.850","62.000","9200","9600","307.11万","1.88亿","1.320%","1.322%","61.000","60.600","62.500","60.100","0.61","-0.16","3.96","62.944","48.742","6.427","0.62","-21.79%","1555.34亿","313.49亿","25.09亿","5.06亿","9.15%","6.71%","23.02%","152.03%","178.29%","汽车零件"
"712","02800","盈富基金","30.260","+0.680","2.30%","0.07%","14.02%","10.44%","30.240","30.260","1500","83.75万","1.03亿","30.92亿","0.000%","0.000%","29.860","29.580","30.280","29.860","3.07","0.20","1.42","1.001","9.040","-","0.81","-97.92%","1012.80亿","1012.80亿","33.47亿","33.47亿","2.72%","2.72%","6.55%","19.32%","13.55%","-"
"713","02107","第一服务控股","1.340","+0.030","2.29%","-0.74%","0.00%","26.42%","1.340","1.350","26.25万","13.50万","396.25万","532.26万","0.000%","0.000%","1.310","1.310","1.370","1.310","0.40","0.00","4.58","15.227","15.056","4.734","1.43","-6.06%","13.40亿","13.40亿","10亿","10亿","8.06%","7.20%","27.62%","0.00%","0.00%","物业服务及管理"
"714","01378","中国宏桥","8.940","+0.200","2.29%","0.00%","30.51%","25.92%","8.930","8.940","4.75万","3000","1740.16万","1.53亿","5.290%","3.668%","8.750","8.740","9.050","8.660","0.20","0.11","4.46","11.245","11.920","1.117","0.57","-16.11%","793.72亿","793.72亿","88.78亿","88.78亿","23.14%","23.48%","29.19%","90.21%","151.83%","铝"
"715","09173","PP中新经济-U","1.702","+0.038","2.28%","0.00%","17.22%","9.10%","0.000","0.000","0","0","2.90万","4.94万","0.000%","0.000%","1.702","1.664","1.702","1.702","0.01","0.00","0.00","0.991","7.753","-","0.78","0.00%","3.74亿","3.74亿","2.19亿","2.19亿","4.03%","3.15%","3.40%","20.20%","59.07%","-"
"716","03948","伊泰煤炭","4.490","+0.100","2.28%","0.00%","-13.15%","-15.92%","4.450","4.500","2.00万","2.38万","4.02万","17.81万","8.510%","8.507%","4.400","4.390","4.500","4.380","0.01","0.22","2.73","7.610","3.529","0.366","1.24","26.71%","146.10亿","14.64亿","32.54亿","3.26亿","1.81%","-9.11%","-8.92%","-10.56%","-8.68%","煤炭"
"717","00294","长江制衣","2.250","+0.050","2.27%","0.00%","12.50%","13.64%","2.120","2.250","1000","7.90万","1.70万","3.59万","5.330%","5.333%","2.100","2.200","2.250","2.100","0.01","0.00","6.82","亏损","亏损","0.422","0.13","-56.44%","4.65亿","4.65亿","2.07亿","2.07亿","9.76%","21.62%","21.62%","8.70%","-13.46%","服装"
"718","00326","中国星集团","1.350","+0.030","2.27%","0.00%","-10.60%","-9.40%","1.260","1.350","4.00万","4.00万","44.60万","57.96万","9.560%","9.851%","1.300","1.320","1.350","1.260","0.02","-6.30","6.82","亏损","亏损","0.982","1.84","6.67%","34.27亿","34.27亿","25.39亿","25.39亿","-1.46%","-8.78%","-10.00%","-17.68%","-10.00%","影视娱乐"
"719","01094","中国公共采购","0.225","+0.005","2.27%","0.00%","19.68%","9.22%","0.212","0.230","8000","54.40万","23.70万","5.24万","0.000%","0.000%","0.206","0.220","0.230","0.204","0.10","0.00","11.82","亏损","亏损","0.301","0.65","-47.83%","5496.38万","5496.38万","2.44亿","2.44亿","-2.17%","2.27%","16.58%","12.50%","-31.82%","电子商贸及互联网服务"
"720","00904","中绿","0.135","+0.003","2.27%","0.00%","42.11%","12.50%","0.135","0.138","28.00万","6.40万","74.23万","9.95万","0.000%","0.000%","0.134","0.132","0.135","0.134","0.20","0.00","0.76","亏损","亏损","0.134","0.60","35.02%","4929.64万","4929.64万","3.65亿","3.65亿","3.85%","19.47%","22.73%","12.50%","-9.40%","农产品"
"721","08525","百应控股","0.450","+0.010","2.27%","0.00%","-10.00%","-4.26%","0.420","0.450","4000","1.20万","36.80万","15.73万","4.670%","0.000%","0.410","0.440","0.495","0.370","0.14","-2.17","28.41","11.842","5.769","0.385","4.84","47.37%","1.22亿","1.22亿","2.7亿","2.7亿","-10.00%","7.14%","-9.09%","-2.17%","-11.76%","-"
"722","00581","中国东方集团","2.270","+0.050","2.25%","-0.44%","5.58%","10.19%","2.260","2.270","8000","11.00万","296.20万","666.89万","7.050%","10.572%","2.220","2.220","2.280","2.200","0.08","0.44","3.60","3.372","2.404","0.372","0.84","-0.83%","84.50亿","84.50亿","37.23亿","37.23亿","4.13%","0.44%","0.44%","-5.42%","-12.02%","钢铁"
"723","09072","日兴环球联网-U","22.720","+0.500","2.25%","0.00%","22.02%","15.04%","0.000","0.000","0","0","0","0","0.000%","0.000%","22.720","22.220","0.000","0.000","0.00","0.00","0.00","1.005","21783.316","-","0.00","0.00%","2369.70万","2369.70万","104.3万","104.3万","3.65%","6.67%","14.34%","35.24%","86.54%","-"
"724","83127","GX沪深三百-R","20.060","+0.440","2.24%","0.00%","17.38%","12.07%","0.000","0.000","0","0","0","0","0.000%","0.000%","20.060","19.620","0.000","0.000","0.00","0.00","0.00","1.008","8024.000","-","0.00","0.00%","5015.00万","5015.00万","250万","250万","5.69%","5.41%","3.30%","19.12%","48.37%","-"
"725","02020","安踏体育","146.500","+3.200","2.23%","0.07%","35.65%","19.20%","146.400","146.500","8000","3.50万","168.22万","2.45亿","0.390%","0.457%","146.000","143.300","146.700","144.000","0.06","0.00","1.88","77.760","67.855","16.608","0.31","-18.18%","3960.38亿","3960.38亿","27.03亿","27.03亿","6.47%","12.17%","12.69%","74.11%","122.21%","服装"
"726","00539","冠华国际控股","0.046","+0.001","2.22%","-2.13%","-40.26%","-23.33%","0.046","0.047","39.20万","118.00万","617.72万","28.08万","141.300%","0.000%","0.045","0.045","0.047","0.043","0.27","0.00","8.89","3.285","0.621","0.015","0.53","48.65%","1.07亿","1.07亿","23.31亿","23.31亿","9.52%","-20.69%","-14.81%","-62.90%","-74.30%","纺织品及布料"
