"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","总市值","流通市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"2959","ENZL","iShares安硕MSCI新西兰ETF","66.345","+0.345","0.52%","0.11%","3.22%","-2.53%","0.000","0.000","0","0","3.19万","211.44万","0.000%","66.310","66.000","66.460","66.110","1.14","0.11","0.53","-","-","-","1.02","0.00%","0.000","66.410","0.00%","0.10%","0","55.35万","0.00","0.00","0.000","+0.065","1.86亿","1.86亿","280万","280万","-1.74%","-3.20%","-2.71%","15.58%","18.15%","-"
"2960","TPAY","Ecofin Digital Payments Infrastructure","47.678","+0.248","0.52%","0.00%","21.25%","6.70%","0.000","0.000","0","0","1960","9.39万","0.000%","48.105","47.430","48.105","47.665","0.65","-0.15","0.93","-","-","-","0.63","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1430.31万","1430.33万","30万","30万","4.42%","10.02%","7.10%","30.21%","35.86%","-"
"2961","DYNF","BLACKROCK ETF TRUST US EQUITY FACTOR ROTATION ETF","33.640","+0.175","0.52%","0.21%","12.66%","6.40%","0.000","0.000","0","0","5055","16.98万","0.000%","33.640","33.465","33.640","33.430","0.22","0.21","0.63","-","-","-","0.97","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","7737.20万","7737.20万","230万","230万","2.25%","4.70%","3.32%","20.72%","15.87%","-"
"2962","UYG","两倍做多金融股ETF-ProShares","46.270","+0.240","0.52%","0.37%","24.29%","9.36%","0.000","0.000","0","0","6.30万","291.80万","0.000%","46.210","46.030","46.720","45.628","0.44","-0.09","2.37","-","-","-","0.89","0.00%","47.010","0.000","2.13%","0.00%","940","0","0.00","0.00","+0.980","0.000","6.66亿","6.66亿","1440万","1440万","2.89%","10.81%","2.76%","45.49%","-18.94%","-"
"2963","ALEX","亚历山大与鲍德温公司","17.340","+0.090","0.52%","0.17%","13.54%","0.93%","0.000","0.000","0","0","28.72万","496.15万","2.190%","17.310","17.250","17.470","17.010","0.40","-0.23","2.67","133.384","亏损","1.130","1.03","0.00%","17.250","17.440","0.00%","0.58%","1500","6.98万","0.00","0.58","0.000","+0.100","12.55亿","12.36亿","7235.43万","7125.89万","8.99%","10.17%","2.66%","41.45%","-23.16%","-"
"2964","CRBN","iShares MSCI ACWI Low Carbon Target ETF","157.330","+0.816","0.52%","0.10%","12.18%","5.74%","0.000","0.000","0","0","1.06万","167.04万","0.000%","157.320","156.514","157.470","156.669","0.24","0.10","0.51","-","-","-","0.83","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6.92亿","6.92亿","440万","440万","1.95%","3.85%","3.05%","20.23%","20.07%","-"
"2965","SMMD","iShares Russell 2500 ETF","63.740","+0.330","0.52%","-0.02%","22.80%","0.00%","0.000","0.000","0","0","3.31万","210.71万","0.000%","64.020","63.410","64.020","63.010","0.89","-0.09","1.59","-","-","-","0.77","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.36亿","2.36亿","370万","370万","1.11%","9.55%","5.05%","41.02%","31.84%","-"
"2966","SPGM","SPDR INDEX SHARES FUNDS Portfolio MSCI Global Stock Market ETF","52.150","+0.270","0.52%","-0.32%","13.35%","7.06%","0.000","0.000","0","0","2.25万","117.21万","0.000%","52.398","51.880","52.398","51.800","0.23","0.11","1.15","-","-","-","0.75","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","5.06亿","5.06亿","970万","970万","2.31%","4.03%","3.10%","21.30%","20.63%","-"
"2967","OVF","LISTED FUND TRUST OVERLAY SHS FOREIGN EQUITY ETF","26.417","+0.137","0.52%","0.00%","7.49%","2.65%","0.000","0.000","0","0","500","1.32万","0.000%","26.400","26.280","26.417","26.400","0.25","0.06","0.06","-","-","-","0.06","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","528.32万","528.33万","20万","20万","1.82%","1.55%","1.17%","11.69%","4.79%","-"
"2968","ICLN","安硕环球清洁能源ETF","30.950","+0.160","0.52%","0.08%","42.90%","9.60%","0.000","0.000","0","0","445.88万","1.38亿","0.000%","31.150","30.790","31.180","30.750","2.01","0.11","1.40","-","-","-","0.72","0.00%","31.120","30.810","1.07%","-0.45%","104.45万","15.78万","1.20","0.55","+0.330","-0.140","68.77亿","68.77亿","2.22亿","2.22亿","0.00%","0.42%","-5.03%","90.33%","133.69%","-"
"2969","OUSM","O'Shares FTSE Russell Small Cap Quality Dividend ETF","32.980","+0.170","0.52%","0.12%","13.27%","6.10%","0.000","0.000","0","0","1.87万","61.44万","0.000%","32.975","32.810","33.012","32.701","0.46","0.15","0.95","-","-","-","1.07","0.00%","32.000","32.950","-2.47%","0.06%","32","32","0.00","0.00","-0.810","+0.020","1.35亿","1.35亿","410万","410万","3.03%","5.27%","2.81%","23.65%","12.70%","-"
"2970","LBTYA","自由全球 Class A","25.230","+0.130","0.52%","0.04%","16.70%","4.17%","0.000","0.000","0","0","146.98万","3688.35万","0.000%","25.130","25.100","25.250","24.830","0.31","-0.04","1.67","亏损","亏损","1.123","0.82","0.00%","0.000","25.230","0.00%","0.00%","0","25.70万","0.00","0.04","0.000","0.000","147.12亿","121.52亿","5.83亿","4.82亿","3.15%","-0.51%","0.44%","14.21%","24.10%","娱乐"
"2971","DXJ","日本股利指数ETF-WisdomTree","58.420","+0.300","0.52%","-0.12%","13.50%","7.35%","0.000","0.000","0","0","32.58万","1901.36万","0.000%","58.480","58.120","58.500","58.220","1.15","0.05","0.48","-","-","-","0.62","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","16.53亿","16.53亿","2830万","2830万","1.97%","3.64%","3.42%","23.63%","13.83%","-"
"2972","CPK","切萨皮克气业","105.030","+0.540","0.52%","0.11%","-3.72%","-2.94%","0.000","0.000","0","0","6.70万","700.17万","1.610%","104.260","104.490","105.150","103.590","0.39","0.14","1.49","24.200","26.522","2.973","1.58","0.00%","104.490","105.030","0.00%","0.09%","313","5.28万","0.00","0.00","0.000","+0.090","18.34亿","17.86亿","1746.09万","1700.67万","2.59%","4.01%","0.46%","28.82%","7.76%","公用事业-管制气体"
"2973","MOAT","VanEck Vectors晨星Wide Moat ETF","66.140","+0.340","0.52%","0.09%","13.69%","6.68%","0.000","0.000","0","0","30.79万","2032.61万","0.000%","66.090","65.800","66.218","65.720","0.45","0.09","0.76","-","-","-","1.28","0.00%","65.800","0.000","0.00%","0.00%","1710","0","0.00","0.00","0.000","0.000","44.84亿","44.84亿","6780万","6780万","2.62%","5.74%","2.80%","21.60%","18.63%","-"
"2974","IBHB","ISHARES TRUST IBONDS 2022 TERM HIGH YIELD & INCOME ETF","24.370","+0.125","0.52%","0.52%","2.68%","0.81%","0.000","0.000","0","0","1.73万","41.85万","0.000%","24.270","24.245","24.370","24.230","1.15","0.53","0.58","-","-","-","1.34","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3655.50万","3655.50万","150万","150万","0.54%","0.75%","0.71%","5.64%","3.95%","-"
"2975","BUG","GLOBAL X FDS CYBERSECURITY ETF","29.200","+0.150","0.52%","0.10%","35.75%","3.40%","21.850","0.000","10","0","18.29万","532.93万","0.000%","29.240","29.050","29.335","28.880","1.85","0.22","1.57","-","-","-","0.83","100.00%","29.040","29.810","-0.03%","2.09%","5366","2226","0.14","2.98","-0.010","+0.610","2.89亿","2.89亿","990万","990万","1.92%","3.51%","3.11%","30.48%","62.02%","-"
"2976","MGRC","McGrath RentCorp","80.010","+0.410","0.52%","0.05%","28.50%","19.94%","0.000","0.000","0","0","15.32万","1221.52万","1.990%","79.760","79.600","80.410","79.000","0.64","0.11","1.77","20.255","20.358","2.915","2.10","0.00%","0.000","80.010","0.00%","0.00%","0","7.23万","0.00","0.00","0.000","0.000","19.29亿","19.07亿","2411.13万","2383.93万","6.27%","13.30%","11.59%","19.83%","0.97%","租赁服务"
"2977","FFR","First Trust FTSE EPRA/NAREIT Developed Markets Real Estate","45.285","+0.232","0.52%","0.00%","6.69%","3.30%","0.000","0.000","0","0","1219","5.52万","0.000%","45.265","45.052","45.370","45.265","0.17","-0.10","0.23","-","-","-","0.37","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3169.88万","3169.93万","70万","70万","2.16%","2.91%","5.13%","15.02%","-9.55%","-"
"2978","HFXI","IQ 50 Percent Hedged FTSE International ETF","23.611","+0.121","0.52%","0.00%","10.36%","4.09%","0.000","0.000","0","0","5.34万","126.03万","0.000%","23.660","23.490","23.660","23.558","0.42","0.09","0.43","-","-","-","1.35","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3.02亿","3.02亿","1280万","1280万","1.29%","2.12%","0.90%","17.93%","10.29%","-"
"2979","FOUR","Shift4 Payments","81.910","+0.420","0.52%","-0.88%","38.01%","8.63%","0.000","0.000","0","0","33.03万","2722.69万","0.000%","82.000","81.490","83.600","81.280","0.53","-0.04","2.85","亏损","亏损","21.247","0.46","0.00%","81.490","81.910","0.00%","0.00%","569","45.32万","0.11","0.00","0.000","0.000","65.87亿","51.33亿","8041.87万","6266.36万","9.61%","20.24%","10.88%","69.80%","0.00%","软件基础设施"
"2980","VMC","火神材料","160.060","+0.820","0.51%","-0.21%","16.29%","7.92%","0.000","0.000","0","0","60.80万","9739.83万","0.830%","159.600","159.240","161.530","158.750","0.46","0.02","1.75","34.947","34.570","3.577","0.97","0.00%","159.240","160.060","0.00%","0.00%","1114","122.85万","0.00","0.00","0.000","0.000","212.10亿","211.38亿","1.33亿","1.32亿","4.51%","7.45%","-0.95%","27.24%","10.12%","建筑材料"
"2981","CACG","ClearBridge All Cap Growth ETF","46.171","+0.236","0.51%","-0.13%","11.82%","4.85%","0.000","0.000","0","0","8413","38.81万","0.000%","46.180","45.935","46.290","45.880","0.18","-0.13","0.89","-","-","-","1.13","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.17亿","2.17亿","470万","470万","2.45%","4.72%","4.37%","19.38%","26.76%","-"
"2982","IETC","iShares Evolved U.S. Technology ETF","50.880","+0.260","0.51%","0.16%","14.50%","7.05%","0.000","0.000","0","0","1.15万","58.50万","0.000%","50.730","50.620","50.960","50.575","0.52","0.08","0.76","-","-","-","0.84","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.12亿","1.12亿","220万","220万","1.88%","5.52%","7.61%","19.66%","40.72%","-"
"2983","XHS","SPDR标普医疗保健服务ETF","110.010","+0.562","0.51%","0.08%","23.27%","13.68%","0.000","0.000","0","0","1.29万","142.37万","0.000%","110.578","109.449","111.330","109.506","0.99","0.11","1.67","-","-","-","1.29","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.43亿","1.43亿","130万","130万","3.17%","6.21%","7.17%","42.07%","41.81%","-"
"2984","LEND","AMPLIFY ETF TR CROWDBUREAU PEER TO PEER LNDNG CRWD FDNG","16.808","+0.086","0.51%","-1.65%","23.59%","21.21%","0.000","0.000","0","0","2790","4.72万","0.000%","16.780","16.722","17.138","16.740","2.79","1.63","2.38","-","-","-","0.81","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","168.08万","168.08万","10万","10万","3.92%","13.19%","13.60%","22.63%","-0.91%","-"
"2985","NMY","纽文马里兰市保基金","14.320","+0.073","0.51%","0.00%","5.65%","2.26%","0.000","0.000","0","0","8.74万","124.92万","4.040%","14.280","14.247","14.340","14.272","0.37","0.00","0.48","22.030","159.111","0.943","1.96","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3.35亿","3.35亿","2336.22万","2336.22万","0.94%","0.94%","3.08%","8.62%","7.11%","资产管理"
"2986","VT","世界全股市ETF-Vanguard","98.110","+0.500","0.51%","0.10%","13.28%","5.97%","0.000","0.000","0","0","85.65万","8391.01万","0.000%","98.100","97.610","98.220","97.470","0.45","0.03","0.77","-","-","-","0.82","0.00%","98.000","98.110","0.40%","0.00%","2.81万","5656","1.01","4.22","+0.390","0.000","185.53亿","185.53亿","1.89亿","1.89亿","2.13%","4.13%","3.15%","21.44%","20.09%","-"
"2987","EXFO","EXFO","3.920","+0.020","0.51%","0.51%","40.50%","14.96%","0.000","0.000","0","0","3.81万","14.81万","0.000%","3.925","3.900","3.925","3.840","0.18","0.00","2.18","亏损","亏损","1.268","0.59","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.25亿","8261.45万","5732.74万","2107.51万","5.95%","5.95%","4.53%","3.16%","-5.54%","通信设备"
"2988","IGRO","iShares International Dividend Growth ETF","64.685","+0.330","0.51%","0.00%","9.90%","2.51%","0.000","0.000","0","0","9081","55.42万","0.000%","64.500","64.355","64.710","64.471","0.30","0.00","0.37","-","-","-","0.74","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.94亿","1.94亿","300万","300万","1.57%","1.51%","0.16%","17.02%","10.65%","-"
"2989","SDVY","First Trust SMID Cap Rising Dividend Achievers ETF","26.370","+0.134","0.51%","0.00%","22.65%","11.08%","0.000","0.000","0","0","7370","19.38万","0.000%","26.460","26.236","26.460","26.012","1.23","0.76","1.71","-","-","-","0.63","0.00%","26.480","0.000","0.93%","0.00%","2648","0","0.00","0.00","+0.244","0.000","1582.20万","1582.20万","60万","60万","3.37%","6.73%","4.44%","38.77%","23.88%","-"
"2990","KF","韩国基金","44.075","+0.225","0.51%","0.00%","27.68%","9.23%","0.000","0.000","0","0","2114","9.31万","0.000%","43.950","43.850","44.190","43.950","0.04","0.00","0.55","亏损","亏损","1.414","0.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2.54亿","2.54亿","575.87万","575.87万","0.60%","0.60%","0.69%","52.59%","47.53%","资产管理"
"2991","PSCM","Invesco S&P SmallCap Materials ETF","62.740","+0.319","0.51%","0.00%","29.02%","9.69%","0.000","0.000","0","0","1611","10.09万","0.000%","62.740","62.421","63.130","62.210","0.54","0.00","1.47","-","-","-","0.24","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1882.20万","1882.20万","30万","30万","4.69%","6.90%","-0.11%","49.91%","38.55%","-"
"2992","ASLE","AerSale Corp","11.810","+0.060","0.51%","0.51%","0.00%","-11.93%","0.000","0.000","0","0","14.69万","173.59万","0.000%","12.020","11.750","12.270","11.510","1.99","0.38","6.47","-","-","1.678","1.00","0.00%","12.000","0.000","2.13%","0.00%","372","0","0.00","0.00","+0.250","0.000","5.07亿","8706.63万","4290.19万","737.23万","-21.53%","-20.20%","-21.27%","0.00%","0.00%","机场及航空服务"
"2993","PFI","Invesco DWA Financial Momentum ETF","47.360","+0.240","0.51%","0.31%","20.70%","9.98%","0.000","0.000","0","0","1.54万","72.76万","0.000%","47.652","47.120","47.652","46.955","1.71","0.11","1.48","-","-","-","1.95","0.00%","47.120","0.000","0.00%","0.00%","47","0","0.00","0.00","0.000","0.000","4262.40万","4262.40万","90万","90万","2.79%","7.91%","4.52%","27.11%","14.55%","-"
"2994","TCHP","T. ROWE PRICE BLUE CHIP GROWTH ETF","29.590","+0.150","0.51%","0.00%","9.68%","5.36%","0.000","0.000","0","0","4.92万","145.40万","0.000%","29.660","29.440","29.660","29.465","1.64","0.17","0.66","-","-","-","1.58","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","8877.00万","8877.00万","300万","300万","2.07%","5.68%","5.72%","15.05%","0.00%","-"
"2995","NYT","纽约时报","49.460","+0.250","0.51%","0.14%","24.58%","-4.34%","0.000","0.000","0","0","113.17万","5546.67万","0.490%","49.380","49.210","50.000","48.630","0.74","0.08","2.78","82.433","82.433","6.587","0.62","0.00%","49.210","49.680","0.00%","0.44%","2699","87.91万","0.00","0.51","0.000","+0.220","82.71亿","76.12亿","1.67亿","1.54亿","-4.30%","-1.08%","2.83%","11.96%","26.66%","出版"
"2996","SCHC","Schwab International Small-Cap Equity ETF","39.570","+0.200","0.51%","0.08%","15.25%","5.10%","0.000","0.000","0","0","30.23万","1195.77万","0.000%","39.630","39.370","39.650","39.390","0.37","0.10","0.66","-","-","-","1.12","0.00%","39.590","0.000","0.56%","0.00%","1.87万","0","0.56","0.00","+0.220","0.000","32.01亿","32.01亿","8090万","8090万","2.59%","4.19%","3.18%","23.60%","17.88%","-"
"2997","TECK","泰克资源有限公司","19.770","+0.100","0.51%","0.30%","34.97%","8.93%","0.000","0.000","0","0","409.20万","8086.34万","0.750%","19.650","19.670","19.943","19.440","0.88","-0.10","2.56","亏损","亏损","0.643","0.93","0.00%","19.649","19.780","-0.10%","0.05%","2818","18.90万","1.27","0.05","-0.020","+0.010","105.00亿","91.73亿","5.31亿","4.64亿","8.75%","2.97%","4.05%","67.54%","48.84%","其他工业金属和采矿"
"2998","ENIA","Enel Americas S.A. American Depositary Shares","7.910","+0.040","0.51%","-0.06%","6.55%","-3.18%","0.000","0.000","0","0","103.90万","818.51万","6.690%","7.890","7.870","7.930","7.765","0.20","0.25","2.10","8.887","6.415","1.564","0.94","0.00%","7.910","7.910","0.51%","-0.13%","1400","6.79万","0.00","0.00","+0.040","-0.010","120.37亿","42.13亿","15.22亿","5.33亿","3.81%","4.35%","-0.52%","12.41%","-10.30%","公用事业—受监管的电力"
"2999","HTEC","EXCHANGE TRADED CONCEPTS TRUST ROBO GLBL HEALTHCARE TECH & INNOVTIN ETF","51.350","+0.260","0.51%","0.27%","32.76%","17.45%","0.000","0.000","0","0","6.06万","311.72万","0.000%","51.560","51.090","51.740","50.870","1.60","0.13","1.70","-","-","-","0.64","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.95亿","1.95亿","380万","380万","4.37%","7.57%","10.26%","49.22%","81.18%","-"
"3000","BPT","BPT信托","3.960","+0.020","0.51%","-0.48%","150.63%","66.39%","0.000","0.000","0","0","27.64万","109.84万","0.000%","3.890","3.940","4.080","3.890","1.29","-1.00","4.82","-","-","-","0.67","0.00%","3.920","3.960","-0.51%","0.00%","2.43万","396","1.27","0.00","-0.020","0.000","8474.40万","8474.40万","2140万","2140万","10.31%","24.14%","34.69%","68.51%","-46.05%","油气炼制与营销"
"3001","CFG-D","Citizens Financial Group Inc","27.710","+0.140","0.51%","0.00%","-0.93%","-3.92%","0.000","0.000","0","0","4.95万","137.06万","0.000%","27.730","27.570","27.773","27.450","0.00","-0.18","1.17","-","-","-","3.07","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.95%","1.91%","0.58%","2.06%","-0.89%","-"
"3002","NULC","NUSHARES ETF TRUST NUVEEN ESG LARGE CAP ETF","37.023","+0.187","0.51%","0.00%","8.98%","6.10%","0.000","0.000","0","0","258","9540","0.000%","36.830","36.836","37.023","37.023","0.04","0.51","0.00","-","-","-","0.12","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2221.32万","2221.37万","60万","60万","1.43%","4.38%","3.28%","16.02%","18.04%","-"
"3003","RNDB","Randolph Bancorp Inc","19.900","+0.100","0.51%","0.00%","18.03%","-9.79%","0.000","0.000","0","0","1.12万","22.43万","0.000%","20.030","19.800","20.790","19.390","0.27","-1.00","7.07","6.589","31.093","1.157","0.82","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.10亿","8231.79万","552.35万","413.66万","1.82%","-0.50%","-1.34%","79.60%","25.79%","银行-区域"
"3004","FLAU","Franklin FTSE Australia ETF","29.440","+0.148","0.51%","0.00%","13.83%","4.35%","0.000","0.000","0","0","844","2.49万","0.000%","29.521","29.292","29.521","29.440","0.12","-0.27","0.28","-","-","-","0.04","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","2060.80万","2060.80万","70万","70万","1.83%","2.26%","2.26%","21.74%","14.04%","-"
"3005","BFTR","BLACKROCK FUTURE INNOVATORS ETF","55.710","+0.280","0.51%","0.10%","41.76%","19.80%","0.000","0.000","0","0","1.71万","95.11万","0.000%","56.050","55.430","56.130","55.310","8.54","0.14","1.48","-","-","-","0.96","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1114.20万","1114.20万","20万","20万","4.97%","11.64%","11.22%","0.00%","0.00%","-"
"3006","ARKO","ARKO CORP","9.950","+0.050","0.51%","-0.40%","0.00%","10.56%","0.000","0.000","0","0","52.11万","518.19万","0.000%","9.800","9.900","10.110","9.800","1.04","0.05","3.13","-","-","6.134","1.25","0.00%","9.850","9.950","-0.51%","0.00%","3481","8955","0.51","0.00","-0.050","0.000","12.38亿","5.01亿","1.24亿","5034.63万","3.00%","9.28%","16.24%","0.00%","0.00%","百货商店"
"3007","AIEQ","AI Powered Equity ETF","41.860","+0.210","0.50%","0.16%","31.37%","17.98%","0.000","0.000","0","0","11.17万","468.60万","0.000%","41.940","41.650","42.160","41.400","2.94","-0.02","1.83","-","-","-","1.46","0.00%","41.508","41.920","-0.34%","0.14%","1286","4988","0.04","0.00","-0.141","+0.060","1.59亿","1.59亿","380万","380万","4.52%","7.47%","8.73%","34.45%","40.02%","-"
"3008","FPI-B","Farmland Partners Inc. Series B Participating Preferred Stock","25.910","+0.130","0.50%","0.00%","2.62%","1.25%","0.000","0.000","0","0","8040","20.82万","0.000%","26.000","25.780","26.000","25.840","0.00","0.00","0.62","-","-","-","0.97","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.21%","0.54%","0.86%","8.32%","2.09%","-"
"3009","SQEW","LEADERSHARES EQUITY SKEW ETF","35.652","+0.179","0.50%","0.03%","20.64%","11.58%","0.000","0.000","0","0","1.20万","42.76万","0.000%","35.140","35.473","35.780","35.140","0.60","-0.05","1.80","-","-","-","2.37","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","7130.20万","7130.34万","200万","200万","3.54%","5.78%","5.74%","30.27%","0.00%","-"
"3010","MPB","Mid Penn Bancorp","23.930","+0.120","0.50%","0.44%","7.38%","10.37%","0.000","0.000","0","0","1.55万","36.96万","3.010%","23.850","23.810","24.425","23.550","0.20","1.01","3.68","9.347","11.449","0.811","1.26","0.00%","23.630","23.930","-0.76%","0.00%","70","789","0.00","0.00","-0.180","0.000","2.01亿","1.85亿","841.56万","772.12万","3.12%","10.24%","1.60%","17.87%","2.39%","银行-区域"
"3011","SATS","回声星通信","23.950","+0.120","0.50%","0.38%","-6.81%","13.03%","0.000","0.000","0","0","98.03万","2330.95万","0.000%","23.930","23.830","24.180","23.320","2.04","0.00","3.61","亏损","亏损","0.661","1.39","0.00%","24.000","23.950","0.71%","0.00%","5846","51.95万","5.25","0.00","+0.170","0.000","23.51亿","11.53亿","9814.56万","4816.21万","3.63%","13.80%","8.27%","-18.84%","-41.07%","通信设备"
"3012","ERSX","ERShares NextGen Entrepreneurs","28.141","+0.141","0.50%","0.97%","37.94%","21.14%","0.000","0.000","0","0","2.65万","74.33万","0.000%","28.020","28.000","28.360","27.417","1.47","-0.23","3.37","-","-","-","2.04","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","5065.38万","5065.38万","180万","180万","6.70%","12.04%","13.64%","50.82%","65.07%","-"
"3013","CNNB","CINCINNATI BANCORP INC","12.020","+0.060","0.50%","0.00%","22.67%","0.59%","0.000","0.000","0","0","2221","2.66万","0.000%","11.980","11.960","12.020","11.960","0.09","0.50","0.50","20.269","27.318","0.900","1.24","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","3576.70万","2886.95万","297.56万","240.18万","0.50%","2.30%","4.07%","38.48%","12.34%","银行-区域"
"3014","NYMT","纽约抵押信托","4.020","+0.020","0.50%","0.50%","39.00%","8.94%","0.000","0.000","0","0","267.21万","1068.34万","8.080%","4.010","4.000","4.040","3.925","0.71","0.37","2.88","亏损","6.281","0.868","1.01","0.00%","4.040","3.990","1.00%","-0.75%","2.42万","7.80万","2.25","1.24","+0.040","-0.030","15.19亿","15.07亿","3.78亿","3.75亿","2.03%","4.15%","9.24%","59.71%","-31.19%","REIT-抵押"
"3015","CMCL","Caledonia Mining Corp. Plc","16.050","+0.080","0.50%","-0.31%","1.57%","1.76%","0.000","0.000","0","0","12.82万","201.28万","1.890%","15.730","15.970","16.180","15.020","1.36","-0.19","7.26","9.385","4.212","1.401","1.50","0.00%","0.000","16.050","0.00%","0.50%","0","1171","0.00","0.00","0.000","+0.080","1.95亿","1.52亿","1211.88万","945万","3.68%","6.43%","-0.74%","-16.71%","57.38%","黄金"
"3016","ARPO","Aerpio Pharmaceuticals","2.010","+0.010","0.50%","0.50%","19.64%","105.10%","0.000","0.000","0","0","359.84万","723.28万","0.000%","2.010","2.000","2.075","1.910","10.31","0.75","8.25","亏损","亏损","2.001","1.13","0.00%","2.030","2.010","1.50%","0.00%","29.65万","6.64万","14.00","2.48","+0.030","0.000","9469.44万","7014.21万","4711.17万","3489.66万","23.31%","60.80%","70.34%","26.42%","207.81%","生物技术"
"3017","LPX","路易斯安那太平洋","42.360","+0.210","0.50%","-0.14%","35.99%","13.96%","0.000","0.000","0","0","97.58万","4125.21万","1.350%","42.440","42.150","42.710","41.520","0.90","0.07","2.82","24.205","亏损","4.055","0.82","0.00%","42.150","42.360","0.00%","0.00%","42","377.50万","0.00","0.00","0.000","0.000","46.31亿","46.08亿","1.09亿","1.09亿","2.42%","8.31%","11.42%","29.09%","26.04%","建筑产品和设备"
"3018","AYX","Alteryx","116.940","+0.580","0.50%","0.10%","5.38%","-3.98%","0.000","0.000","0","0","222.71万","2.60亿","0.000%","117.710","116.360","118.080","115.270","3.88","-0.05","2.42","亏损","亏损","16.330","0.84","0.00%","117.710","117.400","1.16%","0.39%","206.24万","200.73万","1.03","0.62","+1.350","+0.460","77.86亿","67.21亿","6658.33万","5747.18万","-10.95%","-7.17%","1.50%","2.78%","-25.99%","软件-应用"
"3019","KSM","DWS市政债务基金","12.110","+0.060","0.50%","-0.08%","11.87%","6.65%","0.000","0.000","0","0","2.28万","27.51万","4.160%","12.040","12.050","12.170","12.000","0.20","0.00","1.41","28.833","28.833","0.961","1.31","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.36亿","1.36亿","1120.39万","1120.39万","2.71%","1.85%","7.12%","11.73%","3.35%","资产管理"
"3020","CIA","公民保险","6.060","+0.030","0.50%","-0.90%","0.50%","5.76%","0.000","0.000","0","0","6.67万","40.80万","0.000%","6.080","6.030","6.180","6.040","0.15","-1.47","2.32","亏损","亏损","1.031","0.61","0.00%","6.030","6.060","0.00%","0.00%","12","5243","0.00","0.33","0.000","0.000","3.06亿","2.72亿","5052万","4494.96万","3.59%","0.17%","-0.49%","3.59%","-1.94%","保险-人寿保险"
