"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","盘前最新价","盘后最新价","盘前涨跌幅","盘后涨跌幅","盘前成交额","盘后成交额","盘前振幅%","盘后振幅%","盘前涨跌额","盘后涨跌额","总市值","流通市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"3981","EAOM","ISHARES ESG AWARE MODERATE ALLOCATION ETF","28.333","+0.048","0.17%","0.00%","5.32%","2.06%","0.000","0.000","0","0","722","2.04万","0.000%","28.310","28.285","28.333","28.310","0.36","0.08","0.08","-","-","-","0.82","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","566.66万","566.67万","20万","20万","0.93%","1.50%","1.28%","7.87%","0.00%","-"
"3982","NVMZ","TRUESHARES STRUCTURED OUTCOME (NOVEMBER) ETF","28.568","+0.049","0.17%","0.00%","7.31%","3.56%","0.000","0.000","0","0","110","3146","0.000%","28.590","28.519","28.568","28.568","0.00","0.17","0.00","-","-","-","0.43","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","1.01%","2.66%","2.30%","0.00%","0.00%","-"
"3983","FMAC","FIRSTMARK HORIZON ACQUISITION CORP","11.750","+0.020","0.17%","0.86%","0.00%","10.85%","0.000","0.000","0","0","48.83万","571.60万","0.000%","11.790","11.730","12.120","11.540","1.28","-0.08","4.95","-","-","-","0.23","0.00%","11.799","11.700","0.60%","-0.43%","5.54万","7.80万","1.28","2.81","+0.069","-0.050","6.08亿","4.49亿","5175万","3817.65万","-18.63%","10.23%","7.70%","0.00%","0.00%","空壳公司"
"3984","CTR","ClearBridge MLP & Midstream Total Return Fund","17.730","+0.030","0.17%","0.06%","44.46%","21.44%","0.000","0.000","0","0","3.84万","67.83万","12.970%","17.840","17.700","17.910","17.430","0.10","0.11","2.71","亏损","亏损","0.979","1.08","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6.81亿","6.81亿","3840.01万","3840.01万","5.72%","9.31%","1.84%","32.04%","-52.90%","资产管理"
"3985","HDEF","Xtrackers MSCI EAFE High Dividend Yield Hedged Equity ETF","23.640","+0.040","0.17%","-0.12%","7.46%","2.03%","0.000","0.000","0","0","12.11万","285.97万","0.000%","23.630","23.600","23.680","23.550","0.49","0.00","0.55","-","-","-","1.01","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","5.82亿","5.82亿","2460万","2460万","1.37%","0.47%","-1.09%","13.69%","1.87%","-"
"3986","XYLD","GLOBAL X FDS S&P 500 COVERED CALL ETF","47.350","+0.080","0.17%","0.00%","5.74%","3.10%","0.000","0.000","0","0","2.44万","115.66万","0.000%","47.410","47.270","47.420","47.340","0.81","-0.06","0.17","-","-","-","0.58","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","1.42亿","1.42亿","300万","300万","0.30%","1.81%","1.74%","12.87%","0.00%","-"
"3987","IVV","标普500指数ETF-iShares","392.220","+0.660","0.17%","0.05%","9.63%","4.48%","0.000","0.000","0","0","311.42万","12.20亿","0.000%","392.770","391.560","393.150","389.585","0.50","-0.02","0.91","-","-","-","1.03","0.00%","392.800","392.060","0.32%","-0.04%","166.93万","1.68亿","0.34","0.14","+1.240","-0.160","2461.57亿","2461.57亿","6.28亿","6.28亿","1.19%","3.47%","2.90%","16.51%","17.93%","-"
"3988","GHY","Prudential Global Short Duration High Yield Fund","14.850","+0.025","0.17%","0.03%","12.65%","2.93%","0.000","0.000","0","0","10.13万","150.54万","8.480%","14.880","14.825","14.920","14.800","0.25","0.14","0.81","123.750","123.750","0.958","0.86","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6.08亿","6.08亿","4092.74万","4092.74万","1.95%","2.79%","3.07%","14.54%","6.79%","资产管理"
"3989","VTHR","Vanguard Russell 3000 Index Fund","184.110","+0.310","0.17%","0.25%","12.75%","5.76%","0.000","0.000","0","0","6428","118.15万","0.000%","184.740","183.800","184.740","183.000","0.13","-0.25","0.95","-","-","-","0.33","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","9.21亿","9.21亿","500万","500万","1.69%","4.21%","3.52%","20.70%","21.77%","-"
"3990","DRSK","Aptus Defined Risk ETF","29.740","+0.050","0.17%","0.20%","0.83%","1.33%","0.000","0.000","0","0","22.68万","673.12万","0.000%","29.799","29.690","29.799","29.665","1.10","0.00","0.45","-","-","-","1.46","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6.13亿","6.13亿","2060万","2060万","0.61%","0.98%","1.12%","1.92%","9.31%","-"
"3991","AIQUY","LAIR LIQUIDE DR","32.735","+0.055","0.17%","-0.11%","-0.80%","-0.47%","0.000","0.000","0","0","10.40万","339.79万","0.000%","32.585","32.680","32.780","32.570","0.00","-0.09","0.64","-","-","-","0.58","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.17%","-1.04%","-0.53%","-0.95%","11.39%","-"
"3992","DECZ","TRUESHARES STRUCTURED OUTCM DEC ETF","26.241","+0.044","0.17%","0.00%","0.00%","3.19%","0.000","0.000","0","0","190","4993","0.000%","26.280","26.197","26.280","26.241","0.10","-0.15","0.15","-","-","-","1.23","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","524.80万","524.82万","20万","20万","0.94%","2.56%","2.04%","0.00%","0.00%","-"
"3993","FDEC","FT CBOE VEST U.S. EQUITY BUFFER ETF - DECEMBER","31.233","+0.053","0.17%","0.00%","0.00%","1.92%","0.000","0.000","0","0","3.16万","98.49万","0.000%","31.320","31.180","31.320","31.129","1.58","0.01","0.61","-","-","-","1.66","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","6246.40万","6246.52万","200万","200万","0.49%","1.89%","1.26%","0.00%","0.00%","-"
"3994","BYD","博伊德赌场","53.810","+0.090","0.17%","0.24%","54.58%","25.37%","0.000","0.000","0","0","80.12万","4326.00万","0.130%","53.850","53.720","55.010","53.190","0.99","0.11","3.39","亏损","38.992","5.749","0.86","0.00%","53.800","53.810","0.15%","0.00%","7104","52.20万","2.38","0.04","+0.080","0.000","60.02亿","43.43亿","1.12亿","8071.65万","6.77%","16.95%","11.92%","100.56%","61.69%","度假村和赌场"
"3995","ANH-A","ANWORTH MORTGAGE ASSET CP","25.270","+0.042","0.17%","0.00%","7.76%","0.48%","0.000","0.000","0","0","4497","11.34万","0.000%","25.160","25.228","25.270","25.160","0.00","0.00","0.44","-","-","-","1.52","0.00%","0.000","0.000","0.00%","0.00%","0","0","0.00","0.00","0.000","0.000","0","0","0","0","0.55%","0.88%","0.96%","7.58%","-3.35%","-"
"3996","TDY","Teledyne Technologies","388.960","+0.650","0.17%","-0.04%","2.54%","-0.77%","0.000","0.000","0","0","20.22万","7880.25万","0.000%","387.940","388.310","394.840","385.710","0.56","0.07","2.35","36.625","36.625","4.443","0.92","0.00%","388.310","388.960","0.00%","0.00%","3883","56.09万","0.00","0.01","0.000","0.000","143.46亿","141.26亿","3688.17万","3631.63万","0.39%","5.71%","0.52%","24.17%","-0.13%","科技仪器"
"3997","ICFI","ICF国际","83.640","+0.140","0.17%","0.32%","13.51%","12.53%","0.000","0.000","0","0","4.17万","348.52万","0.670%","83.780","83.500","84.490","82.720","0.23","-0.43","2.12","26.056","23.298","2.170","0.67","0.00%","83.500","83.640","0.00%","0.00%","83","4.83万","0.00","0.00","0.000","0.000","15.78亿","15.13亿","1886.31万","1808.84万","0.81%","4.32%","7.42%","21.63%","-3.41%","咨询服务"
